Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL758-1.p,F,-,maxtime,1.9.1pre005,0.023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172335995.txt,0001_FIFO,general,equational
LCL759-1.p,T,0.135,success,1.9.1pre005,0.024,24286,9070,34,498,103,76,28,3,0,13918,0,0,0,13,503,0,495,9061,83,2,10041,637,635,12928,13,101,385,63,9956,637,92,5,635,9,12,9,0,0,1,4,5,0,7,12,498,10400,0,2,0,0.002,0.137,524,172335999.txt,0001_FIFO,general,equational
LCL760-1.p,T,0.135,success,1.9.1pre005,0.025,26101,9618,40,505,103,79,28,3,0,14442,0,0,0,13,511,0,502,9609,93,2,10605,651,649,13740,12,101,390,73,10510,651,95,5,649,7,8,7,0,0,0,2,3,0,6,8,506,10714,0,2,0,0.009,0.144,258,172336003.txt,0001_FIFO,general,equational
LCL761-1.p,F,-,maxtime,1.9.1pre005,0.010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336007.txt,0001_FIFO,general,equational
LCL762-1.p,T,0.043,success,1.9.1pre005,0.019,2970,1241,34,307,41,21,4,3,0,5315,0,0,0,1,312,0,304,1226,96,2,1485,422,420,6112,13,30,207,74,1387,422,76,8,383,5,7,5,0,0,0,3,3,0,2,7,308,4618,0,2,0,0.002,0.045,619,172336011.txt,0001_FIFO,general,equational
LCL763-1.p,T,0.789,success,1.9.1pre005,0.018,133487,54670,55,1300,328,1292,27,11,11,123972,0,0,0,38,1323,0,1278,52984,378,30,56525,421,419,62608,35,319,1009,341,56117,421,147,87,1683,4,11,4,0,0,1,5,4,0,5,11,1300,91681,0,2,24,0.036,0.825,8982,172336015.txt,0001_FIFO,general,equational
LCL764-1.p,T,0.012,success,1.9.1pre005,0.015,560,8,9,48,4,1,0,0,0,83,0,0,0,0,49,0,48,275,6,0,31,329,329,3876,1,3,19,3,25,329,28,0,62,3,5,3,0,0,0,2,2,0,2,5,49,52,0,0,0,0.004,0.016,10,172336019.txt,0001_FIFO,general,equational
LCL765-1.p,F,-,maxtime,1.9.1pre005,0.017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336023.txt,0001_FIFO,general,equational
LCL766-1.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336027.txt,0001_FIFO,general,equational
LCL767-1.p,F,-,maxtime,1.9.1pre005,0.019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336031.txt,0001_FIFO,general,equational
