Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
#./eprover,--definitional-cnf=24,-s,--print-statistics,-R,--print-version,--tstp-format,-s,--record-gcs,--simul-paramod,--forward-context-sr,--strong-destructive-er,--destructive-er-aggressive,--destructive-er,-tKBO6,-winvfreqrank,-c1,-Ginvfreq,-F1,-WSelectMaxLComplexAvoidPosPred,-H(1.ConjectureGeneralSymbolWeight(SimulateSOS,488,104,105,32,173,0,327,3.63456933832,1.43436931217,1),1.FIFOWeight(PreferProcessed),8.Clauseweight(PreferUnitGroundGoals,1,1,0.492432663985),3.Refinedweight(PreferGoals,2,4,7,4.94895515161,6.55154057122),2.ConjectureRelativeSymbolWeight(ConstPrio,0.0640406356983,67,160,111,25,3.13817216288,2.75641029012,1)),--cpu-limit=300,/export/starexec/sandbox2/benchmark/theBenchmark.p
#1,Problem
#2,Status
#3,User,time
#4,Failure
#5,Version
#6,Preprocessing,time
#7,...number,of,literals,in,the,above
#8,...of,the,previous,two,non-trivial
#9,...of,these,trivial
#10,...remaining,for,further,processing
#11,...subsumed
#12,BW,rewrite,match,attempts
#13,BW,rewrite,match,successes
#14,Backward-rewritten
#15,Backward-subsumed
#16,Clause-clause,subsumption,calls,(NU)
#17,Clauses,deleted,for,lack,of,memory
#20,Contextual,simplify-reflections
#21,Current,number,of,archived,clauses
#22,Current,number,of,archived,formulas
#23,Current,number,of,processed,clauses
#24,Current,number,of,unprocessed,clauses
#25,Equation,resolutions
#26,Factorizations
#27,Generated,clauses
#28,Initial,clauses
#29,Initial,clauses,in,saturation
#30,Maximum,resident,set,size
#31,Negative,unit,clauses
#32,Non-unit,clause-clause,subsumptions
#33,Non-unit-clauses
#34,Other,redundant,clauses,eliminated
#35,Paramodulations
#36,Parsed,axioms
#37,Positive,orientable,unit,clauses
#38,Positive,unorientable,unit,clauses
#39,Processed,clauses
#40,Proof,object,clause,conjectures
#41,Proof,object,clause,steps
#42,Proof,object,conjectures
#43,Proof,object,formula,conjectures
#44,Proof,object,formula,steps
#45,Proof,object,generating,inferences
#46,Proof,object,given,clauses
#47,Proof,object,initial,clauses,used
#48,Proof,object,initial,formulas,used
#49,Proof,object,simplifying,inferences
#50,Proof,object,total,steps
#51,Proof,search,given,clauses
#52,Rec.,Clause-clause,subsumption,calls
#53,Removed,by,relevancy,pruning/SinE
#54,Removed,in,clause,preprocessing
#55,Rewrite,failures,with,RHS,unbound
#56,System,time
#57,Total,time
#58,Unit,Clause-clause,subsumption,calls
#59,Filename
#60,Heuristic
#61,Type
#62,Equational
AGT001+1.p,T,0.017,success,1.9.1pre005,0.020,786,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,14,614,0,0,0,629,629,4676,11,0,0,0,0,556,3,0,15,3,5,5,2,3,0,2,2,2,2,8,15,0,0,0,0,0.004,0.021,40,172405242.txt,0010_evo,general,equational
AGT001+2.p,T,0.022,success,1.9.1pre005,0.025,1153,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,14,981,0,0,0,996,996,5448,11,0,0,0,0,923,3,0,15,3,5,5,2,3,0,2,2,2,2,8,15,0,0,0,0,0.003,0.025,45,172405244.txt,0010_evo,general,equational
AGT002+1.p,T,0.021,success,1.9.1pre005,0.021,786,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,14,614,0,0,0,629,629,4672,11,0,0,0,0,556,3,0,15,2,5,4,2,4,0,2,2,2,2,9,15,0,0,0,0,0.000,0.021,40,172405246.txt,0010_evo,general,equational
AGT002+2.p,T,0.022,success,1.9.1pre005,0.025,1153,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,14,981,0,0,0,996,996,5448,11,0,0,0,0,923,3,0,15,2,5,4,2,4,0,2,2,2,2,9,15,0,0,0,0,0.003,0.025,45,172405248.txt,0010_evo,general,equational
AGT003+1.p,T,0.647,success,1.9.1pre005,0.020,32881,26897,37,4706,252,243,3,3,3,183534,0,0,0,34,4712,0,4698,22528,2,2,31875,629,629,33708,1380,288,1266,2,31871,556,2052,0,4995,2,22,4,2,7,6,13,8,5,1,29,4706,163916,0,0,0,0.016,0.663,1266883,172405250.txt,0010_evo,general,equational
AGT003+2.p,T,0.680,success,1.9.1pre005,0.025,37279,29525,146,4827,262,347,0,0,3,182674,0,0,0,37,4830,0,4822,25286,2,2,35477,996,996,36332,1390,299,1280,2,35473,923,2152,0,5235,2,13,4,2,7,3,7,5,5,1,20,4827,166303,0,0,0,0.021,0.701,1347729,172405252.txt,0010_evo,general,equational
AGT004+1.p,T,0.026,success,1.9.1pre005,0.020,535,267,1,448,0,64,0,0,0,899,0,0,0,0,448,0,446,447,2,2,384,629,629,6252,42,0,81,2,380,556,323,0,449,3,15,5,2,10,3,8,6,6,3,25,448,896,0,0,0,0.003,0.030,1548,172405254.txt,0010_evo,general,equational
AGT004+2.p,T,0.025,success,1.9.1pre005,0.025,1035,44,1,149,0,0,0,0,0,89,0,0,0,0,149,0,147,890,2,0,50,996,996,5712,46,0,23,2,48,923,78,0,150,3,7,5,2,6,1,3,3,3,1,13,149,87,0,0,0,0.003,0.028,783,172405256.txt,0010_evo,general,equational
AGT005+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405258.txt,0010_evo,general,equational
AGT005+2.p,T,0.618,success,1.9.1pre005,0.025,36116,28713,149,4731,250,347,0,0,0,170074,0,0,0,34,4731,0,4729,24579,2,2,34561,996,996,35540,1363,281,1241,2,34557,923,2125,0,5130,2,13,4,2,7,3,7,5,5,1,20,4731,157113,0,0,0,0.022,0.640,1163279,172405260.txt,0010_evo,general,equational
AGT006+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405262.txt,0010_evo,general,equational
AGT006+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405264.txt,0010_evo,general,equational
AGT007+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405266.txt,0010_evo,general,equational
AGT007+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405268.txt,0010_evo,general,equational
AGT008+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405270.txt,0010_evo,general,equational
AGT008+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405272.txt,0010_evo,general,equational
AGT009+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405274.txt,0010_evo,general,equational
AGT009+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405276.txt,0010_evo,general,equational
AGT010+1.p,F,-,maxtime,1.9.1pre005,0.021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405278.txt,0010_evo,general,equational
AGT010+2.p,F,-,maxtime,1.9.1pre005,0.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405280.txt,0010_evo,general,equational
AGT011+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405282.txt,0010_evo,general,equational
AGT011+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405284.txt,0010_evo,general,equational
AGT012+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405286.txt,0010_evo,general,equational
AGT012+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405288.txt,0010_evo,general,equational
AGT013+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405290.txt,0010_evo,general,equational
AGT013+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405292.txt,0010_evo,general,equational
AGT014+1.p,T,0.021,success,1.9.1pre005,0.020,513,75,0,218,1,0,0,0,0,76,0,0,0,0,219,0,216,418,2,2,159,629,562,5200,41,1,20,2,155,556,155,0,219,1,14,4,3,11,2,6,6,6,9,25,218,67,0,67,0,0.003,0.024,431,172405294.txt,0010_evo,general,equational
AGT014+2.p,T,0.024,success,1.9.1pre005,0.025,653,2,0,134,0,10,10,10,0,9,0,0,0,0,145,0,122,626,2,0,3,996,758,5448,45,0,9,2,1,923,68,0,134,1,7,4,3,7,0,2,3,3,8,14,134,8,0,238,0,0.003,0.027,460,172405296.txt,0010_evo,general,equational
AGT015+1.p,T,0.020,success,1.9.1pre005,0.020,458,32,3,205,0,21,0,0,0,29,0,0,0,0,206,0,203,437,2,2,65,629,613,5200,41,0,13,2,61,556,149,0,208,1,12,4,3,9,2,5,5,5,4,21,205,29,0,16,0,0.004,0.024,432,172405298.txt,0010_evo,general,equational
AGT015+2.p,T,0.022,success,1.9.1pre005,0.025,974,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,937,0,0,0,996,938,5180,0,0,0,0,0,923,0,0,1,1,4,4,3,5,0,1,2,2,2,9,1,0,0,58,0,0.003,0.025,0,172405300.txt,0010_evo,general,equational
AGT016+1.p,T,0.485,success,1.9.1pre005,0.020,24006,22414,70,4196,101,259,0,0,0,289888,0,0,0,174,4196,0,4194,18676,2,2,24267,629,629,29220,1032,274,1448,2,24263,556,1714,0,4367,2,18,5,3,11,4,10,7,6,7,29,4196,226859,0,0,0,0.019,0.504,812003,172405302.txt,0010_evo,general,equational
AGT016+2.p,T,0.535,success,1.9.1pre005,0.025,25673,23303,133,4420,114,333,0,0,0,313708,0,0,0,194,4420,0,4418,19632,2,2,25465,996,996,30788,1065,305,1537,2,25461,923,1816,0,4667,2,15,5,3,11,3,8,6,6,7,26,4420,256542,0,0,0,0.011,0.546,960605,172405304.txt,0010_evo,general,equational
AGT017+1.p,T,0.022,success,1.9.1pre005,0.020,649,217,0,288,0,0,0,0,0,868,0,0,0,0,288,0,286,558,2,2,256,629,629,5460,41,0,76,2,252,556,169,0,288,2,12,5,3,9,2,6,5,5,3,21,288,867,0,0,0,0.004,0.026,543,172405306.txt,0010_evo,general,equational
AGT017+2.p,T,0.022,success,1.9.1pre005,0.025,1154,0,0,14,0,1,1,1,0,0,0,0,0,0,15,0,13,982,0,0,0,996,996,5444,10,0,0,0,0,923,3,0,14,2,5,5,3,5,0,2,2,2,2,10,14,0,0,0,0,0.003,0.025,45,172405308.txt,0010_evo,general,equational
AGT018+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405310.txt,0010_evo,general,equational
AGT018+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405312.txt,0010_evo,general,equational
AGT019+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405314.txt,0010_evo,general,equational
AGT019+2.p,F,-,maxtime,1.9.1pre005,0.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405316.txt,0010_evo,general,equational
AGT020+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405318.txt,0010_evo,general,equational
AGT020+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405320.txt,0010_evo,general,equational
AGT021+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405322.txt,0010_evo,general,equational
AGT021+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405324.txt,0010_evo,general,equational
AGT022+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405326.txt,0010_evo,general,equational
AGT022+2.p,F,-,maxtime,1.9.1pre005,0.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405328.txt,0010_evo,general,equational
AGT023+1.p,T,215.709,success,1.9.1pre005,0.020,1289966,592899,11046,79778,12531,205718,5685,8193,1947,163736076,0,0,0,10349,89918,0,69636,361829,2,2,1349196,629,629,433336,20953,22315,28089,2,1349192,556,20594,0,103355,2,60,5,3,30,11,33,21,18,22,90,79778,148015055,0,0,0,0.522,216.231,232253489,172405330.txt,0010_evo,general,equational
AGT023+2.p,T,244.746,success,1.9.1pre005,0.025,2046417,1054539,20527,93503,36085,474672,6642,8316,4971,231508142,0,0,0,28861,106790,0,80214,545979,2,2,2469912,996,996,597048,21124,65508,31967,2,2469908,923,27123,0,150115,2,45,5,3,22,7,23,16,13,20,67,93503,218865061,0,0,0,0.646,245.392,259432806,172405332.txt,0010_evo,general,equational
AGT024+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405334.txt,0010_evo,general,equational
AGT024+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405336.txt,0010_evo,general,equational
AGT025+1.p,F,-,maxtime,1.9.1pre005,0.021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405338.txt,0010_evo,general,equational
AGT025+2.p,F,-,maxtime,1.9.1pre005,0.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405340.txt,0010_evo,general,equational
AGT026+1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405342.txt,0010_evo,general,equational
AGT026+2.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172405344.txt,0010_evo,general,equational
ALG001-1.p,F,-,maxtime,1.9.1pre005,0.013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404156.txt,0010_evo,general,equational
ALG001-2.p,F,-,maxtime,1.9.1pre005,0.012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404158.txt,0010_evo,general,equational
ALG001-3.p,F,-,maxtime,1.9.1pre005,0.013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404160.txt,0010_evo,general,equational
ALG002-1.p,T,0.013,success,1.9.1pre005,0.009,692,350,3,74,76,31,1,3,5,1012,0,0,0,33,82,0,66,194,0,0,406,14,14,3284,2,114,52,0,406,14,12,0,153,3,35,3,0,0,9,20,12,0,6,35,74,935,0,0,0,0.002,0.015,1,172404164.txt,0010_evo,general,non-equational
ALG003-1.p,F,-,maxtime,1.9.1pre005,0.009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404166.txt,0010_evo,horn,equational
ALG004-1.p,F,-,maxtime,1.9.1pre005,0.009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404168.txt,0010_evo,horn,equational
ALG005-1.p,F,-,maxtime,1.9.1pre005,0.009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404170.txt,0010_evo,unit,equational
ALG006-1.p,T,0.030,success,1.9.1pre005,0.009,613,1956,42,43,341,266,88,16,1,0,0,0,0,0,60,0,26,613,0,0,3573,4,4,4332,0,0,0,0,3573,4,23,3,426,3,22,3,0,0,13,17,4,0,14,22,43,0,0,0,12,0.003,0.033,22,172404172.txt,0010_evo,unit,equational
ALG007-1.p,T,0.062,success,1.9.1pre005,0.009,2549,4832,130,60,469,298,38,12,1,0,0,0,0,0,73,0,47,2549,0,0,9861,4,4,6448,0,0,0,0,9861,4,42,5,659,4,29,4,0,0,17,23,4,0,13,29,60,0,0,0,40,0.006,0.068,32,172404174.txt,0010_evo,unit,equational
ALG009-1.p,F,-,maxtime,1.9.1pre005,0.013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404178.txt,0010_evo,general,equational
ALG010-1.p,F,-,maxtime,1.9.1pre005,0.009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404180.txt,0010_evo,horn,equational
ALG011-1.p,T,0.008,success,1.9.1pre005,0.009,19,38,0,19,3,0,0,0,8,75,0,0,0,5,29,0,9,7,0,0,44,7,7,3012,2,16,5,0,42,7,2,0,22,9,25,9,0,0,10,17,7,0,1,25,19,68,0,0,0,0.001,0.009,7,172404182.txt,0010_evo,general,equational
ALG012-1.p,T,0.949,success,1.9.1pre005,0.009,4827,40178,1,1109,1791,18,5,43,848,175951,0,0,0,3555,2018,0,200,805,0,142,43167,11,11,24932,21,5478,172,0,43007,11,7,0,2901,72,169,72,0,0,128,140,11,0,76,169,1109,56263,0,0,0,0.013,0.962,5267,172404184.txt,0010_evo,general,equational
ALG013-1.p,F,-,maxtime,1.9.1pre005,0.009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172404186.txt,0010_evo,general,equational
ALG014+1.p,T,0.012,success,1.9.1pre005,0.013,520,0,0,15,0,0,0,0,0,0,0,0,0,0,16,0,15,236,0,0,0,252,252,3348,12,0,0,0,0,12,3,0,16,5,12,8,3,7,0,5,5,4,4,19,16,0,0,0,0,0.001,0.013,0,172404188.txt,0010_evo,general,equational
ALG015+1.p,T,0.219,success,1.9.1pre005,0.141,9960,3920,272,1185,1779,104,104,936,86,245912,0,0,0,426,2238,0,133,498,0,73,3459,1376,1376,10504,36,1215,5,0,3356,38,92,0,3237,9,286,12,3,48,37,177,86,20,270,334,1186,70237,0,0,0,0.006,0.225,9166,172404192.txt,0010_evo,general,equational
ALG016+1.p,T,0.134,success,1.9.1pre005,0.057,9174,3424,118,822,1656,65,65,424,26,113105,0,0,0,1257,1277,0,368,1210,0,91,3258,674,674,6920,43,2220,235,0,3163,30,90,0,2597,6,202,9,3,21,6,107,61,13,322,223,823,58030,0,0,0,0.002,0.136,3829,172404196.txt,0010_evo,general,equational
ALG017+1.p,T,0.011,success,1.9.1pre005,0.013,474,13,0,66,7,3,3,13,0,0,0,0,0,0,80,0,53,192,0,0,0,253,253,3616,43,0,0,0,0,12,10,0,74,5,9,8,3,6,0,4,4,3,3,15,67,0,0,0,0,0.003,0.014,43,172404200.txt,0010_evo,general,equational
ALG018+1.p,T,0.009,success,1.9.1pre005,0.009,44,17,0,16,0,0,0,0,1,4,0,0,0,2,17,0,15,12,1,0,23,12,12,3040,1,3,13,1,22,5,1,0,16,15,25,18,3,9,5,13,9,4,5,34,16,4,0,0,0,0.001,0.010,8,172404204.txt,0010_evo,horn,equational
ALG019+1.p,T,0.010,success,1.9.1pre005,0.010,232,92,0,32,3,2,2,3,1,69,0,0,0,9,36,0,28,61,1,0,117,12,12,3040,1,13,23,1,116,5,4,0,35,20,30,23,3,9,8,17,10,4,8,39,32,67,0,0,0,0.002,0.012,1,172404208.txt,0010_evo,horn,equational
ALG020+1.p,T,0.012,success,1.9.1pre005,0.010,31,111,0,136,15,5,5,45,7,7,0,0,0,0,188,0,84,12,0,23,105,109,109,3340,28,7,1,0,82,6,55,0,151,29,63,32,3,10,10,33,22,5,33,73,136,7,0,0,0,0.001,0.013,302,172404210.txt,0010_evo,general,equational
ALG021+1.p,T,0.150,success,1.9.1pre005,0.148,4543,7,62,41,323,5,5,7,0,623,0,0,0,287,49,0,34,59,0,0,0,479,479,5884,8,406,0,0,0,5,26,0,427,3,71,6,3,27,0,33,29,4,340,98,42,507,0,0,0,0.001,0.151,7,172404214.txt,0010_evo,horn,equational
ALG022+1.p,T,0.147,success,1.9.1pre005,0.148,4543,3,182,38,262,1,1,3,0,0,0,0,0,0,42,0,35,59,0,0,0,543,539,6024,9,0,0,0,0,5,26,0,483,3,75,6,3,31,0,33,33,5,341,106,39,0,0,4,0,0.004,0.151,12,172404218.txt,0010_evo,general,equational
ALG023+1.p,T,0.749,success,1.9.1pre005,0.013,9829,50050,5,2448,9953,8,8,1380,381,160882,0,0,0,6787,4478,0,418,2723,0,277,50886,270,270,30060,58,15557,316,0,50340,35,44,0,12406,0,160,0,0,23,45,105,47,13,51,183,2448,61637,0,0,0,0.017,0.766,3581,172404222.txt,0010_evo,general,equational
ALG024+1.p,T,12.053,success,1.9.1pre005,0.013,7876,608351,413,10356,61053,27,27,2841,7288,3783085,0,0,0,52741,20652,0,61,1651,0,719,659025,206,206,267804,13,109462,18,0,658140,35,30,0,71823,0,1403,0,0,38,872,1111,179,23,479,1441,10357,626268,0,0,0,0.216,12.269,2695,172404226.txt,0010_evo,general,equational
