Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL799-1.p,T,0.199,success,1.9.1pre005,0.015,35398,12158,26,478,909,138,9,2,1,47843,0,0,0,29,481,0,475,10992,1956,20,14449,294,294,14384,104,585,275,1941,12473,294,90,6,1413,3,10,3,0,0,2,5,4,0,2,10,478,42917,0,0,4,0.005,0.204,3679,172377682.txt,0010_evo,general,equational
LCL800-1.p,T,0.305,success,1.9.1pre005,0.018,38814,21814,296,853,2377,3210,94,44,4,51894,0,0,0,65,903,0,805,18117,642,16,32048,390,389,20496,80,1385,429,618,31390,390,286,10,3527,2,12,2,0,0,1,6,5,0,3,12,854,47456,0,1,9,0.014,0.319,3163,172377686.txt,0010_evo,general,equational
LCL801-1.p,F,-,maxtime,1.9.1pre005,0.039,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377690.txt,0010_evo,general,equational
LCL802-1.p,T,0.023,success,1.9.1pre005,0.017,467,97,23,155,48,123,6,0,0,616,0,0,0,0,156,0,155,199,4,2,171,329,328,4156,22,19,63,0,165,329,67,3,226,2,7,2,0,0,1,3,3,0,1,7,155,545,0,1,0,0.000,0.023,43,172377694.txt,0010_evo,general,equational
LCL803-1.p,T,7.954,success,1.9.1pre005,0.042,786349,587534,1081,3519,4236,299052,903,366,114,499276,0,0,0,256,4000,0,3037,356068,519,40,613720,798,798,340416,132,3131,1495,496,613161,798,1361,49,8837,4,18,4,0,0,1,9,7,0,8,18,3520,330500,0,0,624,0.266,8.221,26952,172377698.txt,0010_evo,general,equational
LCL804-1.p,F,-,maxtime,1.9.1pre005,0.044,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377702.txt,0010_evo,general,equational
LCL805-1.p,T,0.031,success,1.9.1pre005,0.033,1880,0,0,14,1,1,1,1,0,1,0,0,0,0,19,0,13,899,0,0,0,919,914,4776,2,1,1,0,0,919,10,0,15,3,7,3,0,0,0,3,3,0,4,7,14,1,0,5,0,0.003,0.034,3,172377706.txt,0010_evo,general,equational
LCL806-1.p,T,0.024,success,1.9.1pre005,0.021,708,182,18,163,74,145,9,1,1,776,0,0,0,1,167,0,161,336,12,2,320,411,409,4568,17,29,70,10,306,411,73,1,255,10,12,10,0,0,2,6,5,0,3,12,163,675,0,2,0,0.005,0.029,42,172377710.txt,0010_evo,general,equational
LCL807-1.p,T,0.018,success,1.9.1pre005,0.017,474,4,3,60,10,19,0,0,0,52,0,0,0,0,61,0,60,203,2,2,11,273,273,3880,11,3,12,0,7,273,37,0,74,2,8,2,0,0,0,3,3,0,2,8,61,52,0,0,0,0.001,0.019,56,172377714.txt,0010_evo,general,equational
LCL808-1.p,T,16.071,success,1.9.1pre005,0.010,4084587,932493,132,3349,9226,2672,316,13,76,1763138,0,0,0,2019,3438,0,3260,904048,5461,329,945602,75,75,804216,54,10034,2998,5454,939812,75,155,53,12707,2,12,2,0,0,2,6,5,0,3,12,3349,564261,0,0,1154,0.613,16.684,7615,172377718.txt,0010_evo,general,equational
